# scripts/actionlint_ratchet_baseline.txt
# Grandfathered actionlint informational findings (SC info + SC style) — the
# tiers the blocking gate in .github/workflows/action-pin-check.yml excludes.
#
# Auto-generated by: python3 scripts/check_actionlint_ratchet.py --update
#
# Format: <workflow-path> <SC-code> <severity> <count>
#
# The key is (file, code, severity) and NOT the finding text, because the text
# embeds line:col positions that move whenever anything above them is edited.
# See the module docstring of check_actionlint_ratchet.py for the measurement.
#
# The ratchet is two-sided: a higher count is a regression, a lower count means
# this file is stale and must be regenerated with --update so the slots you
# freed cannot be silently refilled.
# Total grandfathered findings: 70
.github/workflows/buttondown-notify.yml SC2086 info 6
.github/workflows/buttondown-notify.yml SC2129 style 1
.github/workflows/generate-images.yml SC2012 info 3
.github/workflows/generate-images.yml SC2086 info 18
.github/workflows/generate-images.yml SC2129 style 2
.github/workflows/googlebot-access-monitor.yml SC2016 info 1
.github/workflows/gsc-queue-refresh.yml SC2086 info 1
.github/workflows/jekyll.yml SC2086 info 8
.github/workflows/lighthouse-ci.yml SC2016 info 1
.github/workflows/lighthouse.yml SC2086 info 1
.github/workflows/monitoring.yml SC2016 info 1
.github/workflows/monthly-quality-report.yml SC2086 info 1
.github/workflows/monthly-quality-report.yml SC2129 style 1
.github/workflows/security-audit.yml SC2086 info 19
.github/workflows/security-audit.yml SC2129 style 1
.github/workflows/sentry-release.yml SC2086 info 3
.github/workflows/vercel-deploy.yml SC2086 info 2
